audience,role_group,route,route_kind,category,page_file,primary_job,core_convex_modules,depends_on_domains,links_to_domains,status_layer,notes
internal,shop_manager|lead_technician|admin,/scheduling/bays,page,Scheduling,app/(app)/scheduling/bays/page.tsx,Manage hangar bay occupancy,hangarBays,-,Onboarding|Work Orders,live_route,-
internal,shop_manager|lead_technician|admin,/scheduling/capacity,page,Scheduling,app/(app)/scheduling/capacity/page.tsx,Review staffing and bay capacity,capacity|schedulerPlanning|schedulerRoster|stationConfig|workOrders,Settings|Work Orders,Onboarding|Personnel,live_route,-
internal,shop_manager|lead_technician|admin,/scheduling/roster,page,Scheduling,app/(app)/scheduling/roster/page.tsx,Manage crew roster,-,-,Onboarding,live_route,-
internal,shop_manager|lead_technician|admin,/scheduling/financial-planning,page,Scheduling,app/(app)/scheduling/financial-planning/page.tsx,Review scheduling financial plan,schedulerPlanning|workOrders,Work Orders,Onboarding,live_route,-
internal,shop_manager|lead_technician|admin,/scheduling/quotes,page,Scheduling,app/(app)/scheduling/quotes/page.tsx,Plan quotes in schedule context,-,-,-,live_route,-
internal,shop_manager|lead_technician|admin,/scheduling/due-list,page,Scheduling,app/(app)/scheduling/due-list/page.tsx,Plan from due-list demand,planningFromDueList,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|lead_technician|admin,/scheduling/seed-audit,page,Scheduling,app/(app)/scheduling/seed-audit/page.tsx,Audit seeded scheduling data,seedAudit,-,Onboarding,live_route,-
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports,page,Reports,app/(app)/reports/page.tsx,Review report index and KPI surfaces,billing|workOrders,Billing|Work Orders,Onboarding,live_route,-
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/inventory,page,Reports,app/(app)/reports/inventory/page.tsx,Review inventory reports,inventoryValuation,Parts,Onboarding|Parts,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/financials,page,Reports,app/(app)/reports/financials/page.tsx,Review financial dashboard,billing|customers,Billing,-,live_route,-
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/financials/forecast,page,Reports,app/(app)/reports/financials/forecast/page.tsx,Review financial forecast,billing,Billing,-,live_route,-
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/financials/profitability,page,Reports,app/(app)/reports/financials/profitability/page.tsx,Review profitability analysis,billing|customers,Billing,-,live_route,-
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/financials/runway,page,Reports,app/(app)/reports/financials/runway/page.tsx,Review cash runway outlook,billing,Billing,-,live_route,-
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/revenue,page,Reports,app/(app)/reports/revenue/page.tsx,Review revenue reporting,billing|customers,Billing,Billing|Onboarding,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,shop_manager|billing_manager|qcm_inspector|admin|read_only,/reports/throughput,page,Reports,app/(app)/reports/throughput/page.tsx,Review throughput reporting,workOrders,Work Orders,Onboarding|Work Orders,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,admin|shop_manager,/settings/shop,page,Settings,app/(app)/settings/shop/page.tsx,Manage shop profile and locations,shopLocations,-,Billing|Onboarding,live_route,-
internal,admin|shop_manager,/settings/users,page,Settings,app/(app)/settings/users/page.tsx,Manage users and roles,gapFixes|userManagement|userManagementActions,Shared Workflow,Onboarding,live_route,-
internal,admin|shop_manager,/settings/notifications,page,Settings,app/(app)/settings/notifications/page.tsx,Manage notification preferences,notifications,Shared Services,Onboarding,live_route,-
internal,admin|shop_manager,/settings/locations,page,Settings,app/(app)/settings/locations/page.tsx,Manage shop locations,shopLocations,-,Onboarding,live_route,-
internal,admin|shop_manager,/settings/import,page,Settings,app/(app)/settings/import/page.tsx,Import bulk operational data,bulkImport,-,Onboarding,live_route,-
internal,admin|shop_manager,/settings/email-log,page,Settings,app/(app)/settings/email-log/page.tsx,Review outbound email log,emailLog,-,Billing|Onboarding,live_route,-
internal,admin|shop_manager,/settings/quickbooks,page,Settings,app/(app)/settings/quickbooks/page.tsx,Manage QuickBooks integration,quickbooks,-,Onboarding,live_route,-
internal,admin|shop_manager,/settings/station-config,page,Settings,app/(app)/settings/station-config/page.tsx,Manage station configuration,stationConfig,-,Onboarding,live_route,-
internal,admin|shop_manager,/settings/routing-templates,page,Settings,app/(app)/settings/routing-templates/page.tsx,Manage routing templates,-,-,Onboarding,live_route,-
internal,admin|shop_manager,/settings/capabilities,page,Settings,app/(app)/settings/capabilities/page.tsx,Manage station capabilities list,stationConfig,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,admin|shop_manager,/settings/adsb,page,Settings,app/(app)/settings/adsb/page.tsx,Manage ADS-B settings,aircraft,Fleet,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
internal,all_roles,/not-found,page,System,app/(app)/not-found/page.tsx,Render explicit not-found state,-,-,Dashboard,live_route,Dedicated not-found page plus catch-all route; useful explicit fallback target.
internal,all_roles,*,catch_all,System,app/(app)/not-found/page.tsx,Catch unmatched internal routes,-,-,Dashboard,fallback_surface,Catch-all fallback for unmatched internal routes.
